technique_code	document_code	anchor	occurrence
costume	merveilles17_i_ctb-perrault1670	tech42	d’un habit en broderie d’or & d’argent sur un fonds de satin de couleur de feu, les brodequins de même ; le tout garny d’une quantité innombrable de Rubis ; son Casque étoit enrichy de pierreries, & ombragé du’n grand bouquet de plumes, aussi couleur de feu, avec une Aigrette noire au milieu : Il portoit en sa main le bâton de Commandant qui étoit d’or
animal	merveilles17_i_ctb-perrault1670	tech43	le harnois de son cheval étoit pareillement en broderie d’or & d’argent, avec de grandes Aigles, & garny d’une infinité de rubans, ainsi que les crins & la queüe
costume	merveilles17_i_ctb-perrault1670	tech44	LA Coiffure étoit un Casque d’or couvert de plumes couleur de feu.Le Corps de l’habit étoit de toille d’argent rebrodée d’or, bandée de satin couleur de feu brodé d’argent.Le tonnelet & les manches étoient de même que le corps, & les lambrequins étoient de couleur de feu brodé d’argent.Les bas de soye étoient de gris de perle, & les botines d’argent chamarées d’or en brodequins. Cette chaussure étoit semblable en tous ceux de la Quadrille.Le manteau étoit de même satin couleur de feu brodé d’or, & doublé de toille d’argent.Le carapaçon & le harnois étoient aussi de satin couleur de brodé d’or & d’argent, garny de piéces d’Orféverie.Les Banderoles de Timballes étoient de leur de feu brodées d’or & d’argent, avec des Aigles d’or.
costume	merveilles17_i_ctb-perrault1670	tech45	LA Coiffure étoit en forme d’un mufle de Lion d’or, couvert de plumes couleur de feu.Le corps de l’habit étoit de toille d’argent, brodé d’une bande de broderie d’or à écailles.Le Tonnelet étoit de même toille d’argent, couvert de dix grandes bandes de broderie d’or.Les manches tenant au corps, & les manches pendantes & les lambrequins étoient de satin couleur de feu, brodé d’or & d’argent, & doublées de toille d’argent.Le carapaçon & le harnois étoient de satin couleur de feu, chargé d’une bande d’or brodée d’argent, terminez par leurs campagnes & lambrequins.Le poitrail & la croupiere étoient enrichies de masques d’Orféveries, & les crinieres des chevaux liées d’Echarpes de toille d’argent.
costume	merveilles17_i_ctb-perrault1670	tech46	LA Coiffure étoit un Casque d’or & argent, couvert de plumes couleur de feu. Le corps de cuirasse étoit de toille d’argent brodée d’or, serré d’une ceinture de satin couleur de feu, brodé par écailles d’or. Les épaulettes & les écharpes étoient de bandes d’or.Le tonnelet & les manches finissant en campagnes étoient de satin couleur de feu, avec une bande d’or par en bas, & couverts de leurs lambrequins aussi de broderie dor & argent.Le Sabre étoit de vermeil doré avec les chaînes de même, & le foureau couleur de feu, garny de pieces d’or.Le faisseau étoit de verges d’or liées d’argent.Les brodequins étoient de satin couleur de feu, avec masques d’or, qui avoient les revers de toille d’argent.
animal	merveilles17_i_ctb-perrault1670	tech47	LE carapaçon étoit de satin couleur feu avec de grandes bandes d’or chargées de pierreries & broderie dor & argent coupées en campagnes, ornées de masques d’Orféveries, avec quatre pendans de pieces d’Orféverie. Et dans le milieu du carapaçon étoit un Aigle de broderie d’or relevée en bosse. Le chantrain & la criniere étoient ombragez de plume couleur de feu si bien attachées, qu’elles sembloient étre un ornement naturel du cheval.
costume	merveilles17_i_ctb-perrault1670	tech48	L’habillement des Palfreniers étoit comme un espece de chemise de toille d’argent rayée d’or frisé, & reliée par le milieu du corps d’une bande de satin couleur de feu brodée d’argent. Les lambrequins qui faisoient comme une seconde ceinture étoient de couleur de feu brodé d’or, ainsi que le bout des manches.Le bonnet de satin couleur de feu avec des bandes d’or & d’argent, couvert de plumes couleur de feu.
costume	merveilles17_i_ctb-perrault1670	tech49	LE bonnet étoit de satin couleur de feu brodée en bandes d’or & d’argent. Les Pages étoient vétus des mêmes étoffes, & des mêmes couleurs que les précédans Officiers de la Quadrille, à la reserve que le corps étoit de brocart d’or brodé par écailles d’argent, & que les lambrequins tant des hauts des manches que de la ceinture, étoient taillées en écailles de satin couleur de feu, brodé d’or & doublé de toille d’argent.Les manches de dessous étoient de toille d’or reliées d’un bracelet couleur de feu brodé d’or, & se terminoient en manchettes de toille d’argent, taillée en feüilles.Les carapaçons étoient de satin couleur de feu brodé d’or.Les uns portoient les Lances, les autres les Ecus, où les Devises étoient peintes.
costume	merveilles17_i_ctb-perrault1670	tech50	LE Casque étoit d’argent brodé d’or, ombragé de plumes couleur de feu.Le corps étoit de toille d’argent rebrodé d’or en écailles.Les manches ainsi que le saye étoient couleur de feu brodé d’or & d’argent, & les lambrequins de brocart d’or brodé d’argent.Les manches de dessous étoient de toille d’argent brodée d’or.Le carapaçon de satin couleur de feu brodé d’or & d’argent.
costume	merveilles17_i_ctb-perrault1670	tech51	LE Casque étoit d’argent brodé d’or avec des plumes, couleur de la livrée.Le corps de cuirasse & les lambrequins étoient de brocart d’argent brodé d’or, & orné de bandes de pierreries.Les manches tant celles de dessus que celles de dessous, & le saye étoient de satin blanc brodé d’or.Les brodequins étoient de brocart d’argent brodé d’or.Le carapaçon étoit de satin couleur de feu brodé d’or & d’argent ; & dans les lambrequins des mufles de Lion en broderie.
costume	merveilles17_i_ctb-perrault1670	tech52	LE Royétoit vétu à la Romaine, d’un corps de brocart d’argent rebrodé d’or, dont les épaules & le bas du Busq étoient terminez par des écailles de brocart d’or rebrodé d’argent, avec de gros Diamans enchassez dans la broderie, & bordez encore d’un rang de Diamans. Aux extremitez de la gorgerette de même parure que le corps, & composée de quarante quatre roses de Diamans, se joignoient par des agraffes de Diamans, les épaulettes de même étoffe & broderie que le corps, & au bout de chacune desquelles pendoit une campane de Diamans remplie de pendeloques de même. Au milieu de l’estomac pendoit une autre grosse campane de même sorte. Trois bandes de même étoffe & broderie que le reste, couvertes de 120 roses de Diamans extraordinairement larges, & jointes par dedans avec trois grandes agraffes de Diamans, ceignoient cette magnifique Cuirasse. Au bas du Tonnelet de même étoffe & broderie que le corps étoient des écailles comme les précedentes, chacune ayant sa campane à l’extremité. Les lambrequins des épaules & du bas du Busq qui tomboient sur ce Tonnelet, étoient de brocart d’or brodé d’argent avec de gros Diamans enchassez dans la broderie, & des campanes. Les manches de même étoffe & broderie que le corps, étoient chargées de 12 pieces de chaînes ; sur le haut 24 roses de Diamans sur du brocart d’or faisoient le tour des bouts de manches, & ce tour étoit encor orné par des écailles, comme les précedentes. De cette manche sortoit une manche bouffante de toille d’argent, qui finissoit par la manchette de même étoffe bordée d’or, & li&e sur le poignet par un bracelet de Diamans. La Ceinture qui détachoit le corps étoit composée de 54 pieces de chaînes de Diamans, d’une extraordinaire grosseur.Il avoit un Casque d’argent à feüillages d’or enrichy de deux grands Diamans, de douze roses de Diamans sur les costez, & d’un Cordon de douze autres roses. Ce Casque étoit ombragé d’une creste de plumes couleur de feu, de laquelle sortoient quatre Herons.Les Bottines étoient de brocart d’argent rebrodé d’or, reliées & entourées de bandes de brocart d’or bridé d’argent, enrichies comme celles de cy-dessus. Le revers de ces Bottines étoit brodé d’or & coupé en écailles, desquelles pendoient de petites campanes de Diamans ; le bas de soye étoit couleur de feu.Son Cimeterre étoit couvert d’un si grand nombre de Diamans, qu’à peine voyoit-on l’or dans lequel ils étoient enchassez.
animal	merveilles17_i_ctb-perrault1670	tech53	Il montoit un cheval Isabelle doré, dont la fierté naturelle étoit encore augmentée par la magnificence de ces habillemens. La Selle du cheval étoit de brocart couleur de feu brodé d’argent ; tout le carapaçon du col, du poitrail, du flanc & de la croupe, n’étoit que des bandes de brocart d’or rebrodées d’argent, garnies de Diamans, & noüées de rubans couleur de feu avec des roses de Diamans à chaque jointure, la queüe étoit ornée de mêmes bandes : Sur la croupe étoient deux grosses campanes de même étoffe & broderie que ces bandes, & à leur extremité comme au dessus de chaque noeuf couleur feu : dans tout le carapaçon il y avoit deux campanes de cartisane & argent mélé de DiamansAu haut de la testiere étoit attaché par une enseigne de huit grands Diamans autour d’un plus grand, un bouquet de plumes couleur de feu, duquel sortoient en quatre aigrettes de Diamans, au dessus desquelles s’élevoit une autre aigrette encore de Diamans, le tout à jour, & composé de 250 pendeloques. Cette testiere de même que les Resnes & les Estrivieres étoit de brocart d’or brodé d’argent, & enrichy de Diamans, & l’extremité des Resnes & chanfrein étoit ornée de campanes & de pendeloques de Diamans..
costume	merveilles17_i_ctb-perrault1670	tech54	LA Coiffure étoit un bonent de satin incarnat brodé d’argent, doublé d’hermine, & couvert de plumes incarnates & blanches, qui étoient les couleurs de la Quadrille.La veste étoit de satin incarnat bandé de blanc & brodée d’argent, & la soûveste de toille d’argent ; Les manches de dessus étoient de satin incarnat doublées d’hermine.La Banderole de la Trompette étoit de satin blanc frangée & brodée d’incarnat & argent, & portoit la Devise du Chef de la Quadrille.La Banderole des Timbales étoit de satin incarnat brodé d’argent.Les carapaçons étoient de satin incarnat brodé d’or & d’argent, & doublé d’hermine.
costume	merveilles17_i_ctb-perrault1670	tech55	LE bonnet tant des Estafiers que des Palfreniers étoit de satin incarnat & blanc, brodé d’or & d’argent, avec des plumes blanches & incarnates.Le manteau des Estafiers étoit de toille d’argent ainsi que la soûveste, terminez par des écailles, & lambrequins de broderie d’or & d’argent.La veste étoit de satin incarnat chamarée de satin blanc bordé d’argent.Le Carquois étoit d’argent émaillé d’incarnat.Le carapaçon du cheval étoit incarnat brodé d’argent, le tout bordé d’une riche broderie enrichie de diamans.Les écharpes de les testiere étoient de toille d’argent.Les Palfreniers étoient vétus des mêmes étoffes & des mêmes couleurs, avec cette difference que leur veste étoit bordée d’hermine.
costume	merveilles17_i_ctb-perrault1670	tech56	LE bonnet tant de l’Ecuyer que du Page étoit de satin incarnat brodé d’argent, doublé d’hermine, & couvert de plumes blanches & incarnates.La veste de l’Ecuyer étoit incarnate brodée d’argent, doublée d’hermine.La soûveste & les manches de dessus étoient d’argent brodé d’or.Le carapaçon étoit de satin incarnat bandé de satin blanc brodé d’argent, & bordé d’herminé, les ornemens d’Orféverie étoient d’or.L’habillement du Page étoit semblable pour les étoffes, & pour les couleurs.
costume	merveilles17_i_ctb-perrault1670	tech57	LE bonnet étoit de satin incarnat doublé de brocart d’argent, brodé d’or & de pierreries, avec des plumes des couleurs de la Quadrille.La veste de satin incarnat brodée par bandes de brocart d’argent, & bordée d’hermine.La soûveste & les manches de dessous brodées d’or.Les manches pendantes étoient de satin incarnat brodées d’argent, & doublées de toille d’argent.Le carapaçon du cheval étoit de satin incarnat brodé d’argent, & bordé d’hermine.
costume	merveilles17_i_ctb-perrault1670	tech58	LA veste étoit de brocart d’argent rebrodé d’argent & parsemé de rubis, & se joignit pardevant avec de grosses agrafe de rubis. Sur le devant autour du col d’une épaule à l’autre, il y avoit une chaîne de gros rubis, les entourneures des épaules étoient deux chaînes de pareils rubis.Les manches se terminoient en des lambrequins entourez d’un rang de gros rubis, & qui avoient à leur bout des campanes de Cartisanne, & des pendeloques de rubis ; De dessous les manches qui passoient gueres les épaules sortoient d’autres manches qui alloient jusqu’au poignet, & toutes plissées jusqu’à la manchette qui faisoit des languettes.Il portoit sur le dos une mante à la Persane de brocart incarnat rebrodé d’argent, semée de perles, noüée sur les épaules par deux gros boüillons, & dont le bas finissoit par des lambrequins garnis de campanes, comme cy dessus.La coiffure étoit un bonnet à la Persane d’un brocart incarnat, brodé d’argent avec np une bande au dessus en écailles d’or, & un tour de même matiere chargé de pandeloques de rubis, & de perles. A ce bonnet étoit attachée une creste de plumes incarnat & blanc sans nombre, sur une grande rose de rubis.Le bas de soye étoit gris de perle, & les botines de même étoffe & broderie que la veste, le haut de chacune étoit orné de boüillons de brocart d’argent, & d’une rose de rubis qui les soûtenoient : outre cela, elles étoient chamarées en brodequins d’une bande de satin incarnat brodé d’argent, le trou : garny de rubans incarnat & blanc.La Selle du cheval étoit de brocart incarnat & argent rebrodé d’argent, & son molet d’argent, tout le carapaçon étoit de même étoffe & broderie chargé de gros rubis, & composé par le bas de campanes, & distinguées & terminées par des pandeloques de rubis & de perles, & noüées de roses de ruban incarnat & blanc, de même que tous les crins.Il y avoit sur le chanfrin une grande rose de rubis, les six bossettes étoient deux autres roses ; le mort, & les étriers étoient d’argent garnis de rubis, & les resnes de brocart incarnat brodé d’argent aux extrémitez, desquelles pendoient des campanes à pandeloques, comme les précedentes.
costume	merveilles17_i_ctb-perrault1670	tech59	LA Coiffure étoit un Turban de toille d’argent rayé de bleu, & les revers de satin bleu brodé d’argent.Les plumes étoient à trois rangs, noires bleuës & blanches.La veste de satin bleu bandée de satin noir aux extremitez, & frangée d’argent ; elle étoit doublée de toille d’argent.La soûveste & les manches de dessous étoient de satin blanc, bandées de satin brodé d’or.Les brodequins étoient de satin bleu chamaré de blanc, & de noir.Le carapaçon du cheval & les banderolles, tant de la Timbale que la Trompette, étoient de satin bleu bandé de satin noir brodé d’or, & tous les Croissans &toient d’argent.
costume	merveilles17_i_ctb-perrault1670	tech60	LE bonnet étoit de toille d’argent chamaré d’or, doublé de satin bleu brodé d’argent ; l’Aigrette naissoit d’un Croissant d’argent embrassant un miroir, & autour étoient des écailles d’or & d’argent, d’où formoient des plumes pendantes, noires, bleuës & blanches.La veste étoit de satin bleu avec des bandes de satin noir aux extremitez, brodée & frangée d’or & d’argent, & doublée de toille d’argent.Les Boutosnieres étoient d’argent.La soûveste & les manches de dessous de satin blanc, rayées de noir & bleu brodées d’argent.Les brodequins étoient de satin bleu, chamaré de blanc & de bleu.Le carapaçon du cheval étoit de satin bleu brodé d’argent, avec une bande de satin noir brodée d’or & d’argent, enrichie de Turquoises & de Diamans.Les Croissans étoient d’argent.
costume	merveilles17_i_ctb-perrault1670	tech61	LA Coiffure étoit moitié Bonnet & moitié Turban. Le Bonnet étoit de satin bleu brodé d’argent, & le Turban étoit de toille d’argent rayé de bleu : Outre les plumes ordinaires, il y en avoit encore en forme d’aisles, tant sur le Bonnet qu’aux deux épaules, de couleur de la Quadrille.La veste étoit de satin bleu, doublée de toille d’argent, & brodée de satin brodé d’or & d’argent.Le carapaçon du cheval de l’Ecuyer étoit une peau de Lyon, dont la criniliere étoit d’or.Et le carapaçon du cheval du Page étoit de satin bleu brodé d’argent, & bandé de satin noir brodé d’or, avec des Croissans d’argent.
costume	merveilles17_i_ctb-perrault1670	tech62	L’Habit étoit semblable à celuy de l’Ecuyer, à la reserve seulement qu’il n’avoit pas de ces grandes aisles attachées au dos.
costume	merveilles17_i_ctb-perrault1670	tech63	La soûveste étoit de satin rouge cramosy brodé d’argent, qui se joignoit pardevant avec de grosses agraffes de Turquoises, & de Diamans. Les entourneures des épaules de dessus étoient aussi de Turquoises & de Diamans, & celles de dessous de Croissans d’argent d’Orfévreries.De dessous celles-cy sortoient des lambrequins semez de Diamans & de Turquoises, enchassez dans la même broderie & étoffe que la sûveste.Cette sûveste finissoit en bas par de semblables lambrequins, & le revers qui étoit de brocart d’argent paroissoit, parce que les coins de devanat étoient relevez & attachez pardes agraffes semblables aux autres, à une écharpe d’étoffe à la Persane d’argent rayée de filets d’or, dont les bouts étoient garnis de frange d’or.Au devant du Turban qui étoit de même étoffe, & environné de bandes de brocart d’argent rebrodé d’argent, & garny de Diamans & de Turquoises, paroissoit vn Croissant de mêmes pierreries, sur une grande Enseigne de même.Ce Croissant soûtenoit une masse de plumes bleües, blanches & noires, desquelles sortoient quatre Herons.Il avoit une soûveste de brocart d’or brodé d’argent, qui étoit garnie par le bas de Croissant d’argent d’Orfeverie, distinguez par de campanes de cartisanne d’or.Les manches étoient de même brocart liées avec des bracelets de Diamans, & de Turquoises : la manchette étoit en forme d’écailles, de brocart d’argent.Des Croissans d’argent d’Orféverie enchainez les uns aux autres, composoient deux manches pendantes derriere les épaules.Les botines étoient de satin rouge cramoisy brodé d’argent, & doublé de brocart d’argent, renversées & bordées par le haut d’un tour d’écailles rouge cramoisy brodé d’argent : le devant étoit garny depuis le haut jusqu’au bas de Croissans d’argent comme les premiers, le devant & le reste étoit entouré & relié d’une bande de brocart d’or rebrodé d’argent.La housse de satin bleu bordée d’argent étoit entourée d’une bande noire brodée d’or taillée en campanes, chacune desquelles étoit garnie d’une rose de Turquoise, & de Diamans, & avoit à son bout une autre campane de cartisanne d’or.Il y avoit une cartouche de vermeil doré attachée à la housse par des Turquoises & des Diamans, & par deux Croissans de mêem vermeil au bas de cette cartouche pendoit un autre croissant de même.Le carapaçon de la croupe étoit de satin bleu brodé d’argent, & chargé de grands Croissans de vermeil doré, avec des campanes de cartisanne d’or tout autour, le mors, les étriers, & les éperons étoient de vermeil doré garnis de Turquoises & de Diamans, les bossettes de deux roses de mêmes pierreries, la testiere, les resnes, & les estrivieres de brocart d’or garnies de même.Sur le front du cheval qui étoit un grand coursier de Naples blanc, pendoit un grand Croissant de mêmes pierreries, au dessus duquel paroissoit un chanfrein de plumes bleües, blanches & noires, tous les crins étoient noüez de rubans de même couleur.
costume	merveilles17_i_ctb-perrault1670	tech64	LA Coiffure du Timbalier étoit un grand Perroquet, accompagné de deux petits sur ses épaules avec leurs plumes de couleur naturelle.Le fonds de l’habit étoit couleur de chair brune chamaré de jaune & de noir : le jaune étoit brodé d’argent, & le noir étoit brodé d’or.Les ornemens étoient de couleurs differentes.Il avoit une espece de plastron d’or orné de perles.Le carapaçon & banderolle étoit des bandes de satin jaune & de satin noir brodé d’or & d’argent avec des lambrequins de plumes de toutes couleurs.
costume	merveilles17_i_ctb-perrault1670	tech65	LE bonnet tant des Estafiers que des Palfreniers étoit d’or orné de plumes de toutes couleurs avec un bouquet de couleur de la Quadrille.Le juppon étoit de couleur de chair brune bandé de noir, brodé d’or, croisé d’vne doublé écharpe de satin noir brodé d’or & couvert de perles.La ceinture étoit de gase d’argent, & des plumes de toutes couleurs marquoient les extremitez.Le carapaçon du cheval étoit de satin noir tout brodé d’or, bandé de satin jaune brodé d’argent, & boidé de perles : toutes les extremitez des lambrequins étoient ornez de plumes de toutes couleurs.
costume	merveilles17_i_ctb-perrault1670	tech66	LE bonnet tant de l’Ecuyer que du Page étoit or & argent, garny de plumes à plusieurs rangs de toutes couleurs, & chargé d’un Bouquet de couleur de la Quadrille.Le corps de l’habit étoit de couleur de chair brune, orné d’or, de perles, & de plumes de toutes couleurs.Le carapaçon étoit de satin jaune, bandé de satin noir, brodé d’or & d’argent, & enrichy aux extremitez de plumes de toutes les couleurs.
costume	merveilles17_i_ctb-perrault1670	tech67	L’Habit du Mareschal de Camp étoit pareil à celuy de l’Ecuyer, à la difference qu’il étoit plus riche & plus chargé de Broderie de pierrerie, de perles, & de corail.LE DVC D’ANGVIEN, ROY DES INDES.LE corps étoit de brocart or & noir rebrodé d’argent, & semé de Diamans. Le Tonnelet étoit de même parure aussi bien que les demy-manches, l’entourneure des épaules & du bas des manches, le bas du Buseq, & le bas du Tonnelet chargez chacun d’un rang de grosses perles.Il avoit penduë au col une écharpe d’or en broderie, qui s’ouvroit au devant vers les deux costez, par-dessous les bras se rejoignoit entre les deux épaules, & remontoit jusqu’au derriere du col chargée de Diamans, au bas de chacun desquels pendroit une grosse perle en poire.Vne plume feinte de broderie d’argent, & une autre qui étoit naturelle, & de couleur de chair mélées ensemble, faisoient sa cravatte.Pour lambrequins sur les épaules, au bout des manches, au haut & au bas du Tonnelet, & au haut des botines étoient deux rangs de ces deux sortes de plumes ; les feintes au dessus np des naturelles, excepté le haut du Tonnelet, qui en avoit un rang de naturelles entre deux rangs de feintes, & qui de méme que le bas du Tonnelet avoit des campanes de cartisanne or & argent au bout des lambrequins.La Coiffure étoit un bonnet à l’Indienne, exprimé par des plumes feintes de broderie d’or & d’argent qui soûtenoient les naturelles, jaunes, blanches & noires, qui étoient les couleurs de la Quadrille, desquelles sortoient quatre Herons.Les botines étoient de brocart d’or chamarées de bandes d’or, & couvertes de perles.La housse étoit de brocart d’or brodé d’argent avec des bandes de brocart d’or & noir, rebrodé d’or, & des campanes, d’où pendoient d’autres campanes de cartisanne d’or & d’argent.Le poitral & le carapaçon de la croupe étoient de brocart noir & or, & de plusieurs autres pieces de brocart d’or brodé d’argent adaptées sur l’or & sur le noir, de plusieurs rangs de grosses perles qui tournoient à l’entour des morceaux de broderie d’argent, il pendoit de grosses perles en poires dans les interualles de ces pieces.Les resnes, la testiere, & les estrivieres étoient de brocart d’or couvert de broderie d’argent, le mors, l’étrier, & l’éperon d’or, & les bossettes étoient de roses de Diamans.Sur le front du cheval s’élevoit un chanfrein de plumes jaunes, blanches & noires sur une campane de brocart d’or, avant un gros Diamant au milieu, tous les crins étoient noüez de roses de ruban de méme couleur.
costume	merveilles17_i_ctb-perrault1670	tech68	LE Bonnet de l’un & de l’autre étoit fait de plusieurs coquilles de corail.Tout le corps étoit de satin vert brodé en écailles d’argent, les manches & les extremitez du corps étoient de nageoires de poissons.Les carapaçons des chevaux étoient de peaux de Tigres, avec des bandes de velours vers, cloüées & rebordées en campanes de bandes d’or.
costume	merveilles17_i_ctb-perrault1670	tech69	hermine, qui ne tenoit que sur un épaule, & étant ceint par le milieu du corps, les couvroit jusques aux genoux ; le vestement étoit bordé par le bas d’vne bande de broderie.
costume	merveilles17_i_ctb-perrault1670	tech70	LEs Estafiers representoient des Sauvages ; leur vestement étoit une peau de Tigre, dont la teste leur servoit de bonnet, & les deux pieds de devant entouroient le col, & étoient noüez en forme de cravate : cette peau qui étoit doublée de satin couleur de chair, étoit retroussée par les deux costez, & s’atachoit par derriere à la queüe du Tigre.Ils avoient sur la teste une espece de Couronne de feüilles de vigne, & autour des bras des bracelets aussi de feüilles de vigne.Ils étoient ceints avec des bandes d’or, & portoient chacun une massüe sur leurs épaules.Les Palfreniers representoient des Satyres couronnez, & environnez par tout le corps de branches & de feüilles de vigne, avec des doubles écharpes croisées, & des ceintures faites de larges bandes d’or.Le carapaçon du cheval étoit une peau de Tigre, bordée d’une large bande de velours vert en broderie d’or & d’argent, avec une autre bordure taillée en façon de campanes brodées & chargées de mufles de Lyon en broderie d’or, & enrichies de pierreries, les campanes rebordées de fourures.Le cheval avoit une corne au milieu du front en manière de Licorne.
costume	merveilles17_i_ctb-perrault1670	tech71	LE casque de l’Ecuyer étoit d’or en forme de teste de Dragon, d’où pendoit une longue criniere par derriere. L’habit étoit fait de lames d’or où étoient enchassez des yeux de Dragon, & les lambrequins qui tomboient sur le Saye étoient de fourures chargez de lames d’or, où étoient aussi des yeux de Dragon.Le Saye étoit de satin couleur de chair, avec une bande de velours vert en broderie d’or, & une frange aussi d’or.Le carapaçon du cheval étoit une peau de Tigre, bandé de velours vert en broderie, avec des lambrequins de fourures chargez d’yeux de Dragon.La coeffure du Page étoit un bonnet de fourure, chargé d’une peau de Singe : il avoit le corps couvert d’une peau de Tigre, & le Saye fait de diverses écailles.La carapaçon du cheval étoit une peau de Poisson de Mer, avec des lames d’or cloüées dessus.
