tech/@key	text()	fichier
éclairage	tant de lustres	merveilles17_i_dv-felibien1676
éclairage	girandoles	merveilles17_i_dv-felibien1676
construction	ce Théatre	merveilles17_i_dv-felibien1676
musique	la Musique	merveilles17_i_dv-felibien1676
construction	un Salon de verdure	merveilles17_i_dv-felibien1676
construction	des Amphithéatres	merveilles17_i_dv-felibien1676
musique	la Musique	merveilles17_i_dv-felibien1676
construction	Ce Salon	merveilles17_i_dv-felibien1676
construction	un gros jet d’eau	merveilles17_i_dv-felibien1676
décor	cinq Figures de Satyres	merveilles17_i_dv-felibien1676
construction	ce Salon	merveilles17_i_dv-felibien1676
musique	la Musique	merveilles17_i_dv-felibien1676
	la promenade	merveilles17_i_dv-felibien1676
machine_aquatique	machines	merveilles17_i_dv-felibien1676
jeux_d_eau	plusieurs jets d’eau	merveilles17_i_dv-felibien1676
jeux_d_eau	soixante-treize jets d’eau	merveilles17_i_dv-felibien1676
éclairage	plus de cent cinquante lustres	merveilles17_i_dv-felibien1676
éclairage	des girandoles	merveilles17_i_dv-felibien1676
éclairage	bougies	merveilles17_i_dv-felibien1676
éclairage	des girandoles	merveilles17_i_dv-felibien1676
éclairage	bougies	merveilles17_i_dv-felibien1676
animal	d’oiseaux tres-rares, & d’une quantité incroyable d’autres animaux sauvages.	merveilles17_i_dv-felibien1676
musique	la musique	merveilles17_i_dv-felibien1676
construction	Théatre	merveilles17_i_dv-felibien1676
construction	ce Théatre	merveilles17_i_dv-felibien1676
éclairage	Sept grands lustres	merveilles17_i_dv-felibien1676
construction	Théatre	merveilles17_i_dv-felibien1676
éclairage	quantité de girandoles	merveilles17_i_dv-felibien1676
éclairage	une infinité d’autres lumiéres	merveilles17_i_dv-felibien1676
éclairage	infinité de bougies	merveilles17_i_dv-felibien1676
éclairage	tant de lumiéres	merveilles17_i_dv-felibien1676
construction	THEATRE	merveilles17_i_dv-felibien1676
construction	le Théatre	merveilles17_i_dv-felibien1676
construction	bassins de fontaines	merveilles17_i_dv-felibien1676
construction	Théatre	merveilles17_i_dv-felibien1676
construction	deux lances d’eau	merveilles17_i_dv-felibien1676
jeux_d_eau	quantité des jets d’eau	merveilles17_i_dv-felibien1676
construction	une infinité de figures d’eau	merveilles17_i_dv-felibien1676
jeux_d_eau	plusieurs jets	merveilles17_i_dv-felibien1676
construction	plusieurs palissades de lances	merveilles17_i_dv-felibien1676
éclairage	petits chandeliers	merveilles17_i_dv-felibien1676
animal	aigrettes	merveilles17_i_dv-felibien1676
construction	un Théatre	merveilles17_i_dv-felibien1676
construction	bassins de fontaine	merveilles17_i_dv-felibien1676
construction	le Théatre	merveilles17_i_dv-felibien1676
musique	la Musique	merveilles17_i_dv-felibien1676
éclairage	cent flambeaux	merveilles17_i_dv-felibien1676
feu_d_artifice	Feu d’artifice	merveilles17_i_dv-felibien1676
éclairage	Figures d’illuminations	merveilles17_i_dv-felibien1676
éclairage	lumiéres	merveilles17_i_dv-felibien1676
feu_d_artifice	une infinité de feux	merveilles17_i_dv-felibien1676
feu_d_artifice	Mille fusées	merveilles17_i_dv-felibien1676
éclairage	lumiéres differentes	merveilles17_i_dv-felibien1676
bruitage	bruit des canons	merveilles17_i_dv-felibien1676
feu_d_artifice	les feux	merveilles17_i_dv-felibien1676
éclairage	mille lumiéres	merveilles17_i_dv-felibien1676
éclairage	girandole de crystal	merveilles17_i_dv-felibien1676
éclairage	plusieurs bougies	merveilles17_i_dv-felibien1676
décor	huit Figures d’argent drapées d’or. Ces figures estoient assises & disposées en differenes attitudes, tenans toutes des flageolets & autres instrumens champestres, dont elles sembloient jouër.	merveilles17_i_dv-felibien1676
éclairage	une girandole	merveilles17_i_dv-felibien1676
éclairage	un lustre	merveilles17_i_dv-felibien1676
éclairage	bougies	merveilles17_i_dv-felibien1676
éclairage	girandole	merveilles17_i_dv-felibien1676
machine_terrestre	cette machine	merveilles17_i_dv-felibien1676
éclairage	une rangée de bougies	merveilles17_i_dv-felibien1676
éclairage	six cens bougies	merveilles17_i_dv-felibien1676
éclairage	des rangées de bougies	merveilles17_i_dv-felibien1676
machine_terrestre	cette machine	merveilles17_i_dv-felibien1676
éclairage	lumiéres	merveilles17_i_dv-felibien1676
construction	un bassin de fontaine, d’où s’éleve un piedestal, qui porte un autre bassin en forme de table ronde, dont les bords sont de pierres congelées de differentes couleurs	merveilles17_i_dv-felibien1676
jeux_d_eau	L’eau qui sort du milieu de ce bassin par la bouche d’un gros masque de bronze doré, retombe par napes dechirées dans la bassin d’embas	merveilles17_i_dv-felibien1676
jeux_d_eau	jet d’eau	merveilles17_i_dv-felibien1676
construction	un Théatre	merveilles17_i_dv-felibien1676
éclairage	girandoles	merveilles17_i_dv-felibien1676
éclairage	plusieurs bougies	merveilles17_i_dv-felibien1676
construction	ce Théatre	merveilles17_i_dv-felibien1676
jeux_d_eau	la grande piéce d’eau	merveilles17_i_dv-felibien1676
éclairage	lumiéres coloriées	merveilles17_i_dv-felibien1676
construction	un rocher	merveilles17_i_dv-felibien1676
éclairage	un Obelisque tout de lumiére	merveilles17_i_dv-felibien1676
construction	Du rocher	merveilles17_i_dv-felibien1676
machine_aquatique	un Dragon les aîles déployées, qui sembloit à demi écrasé sous le faix de la machine	merveilles17_i_dv-felibien1676
construction	rocher	merveilles17_i_dv-felibien1676
éclairage	d’illuminations	merveilles17_i_dv-felibien1676
éclairage	mille feux étincelans	merveilles17_i_dv-felibien1676
machine_terrestre	Cette machine	merveilles17_i_dv-felibien1676
	une lumiére	merveilles17_i_dv-felibien1676
jeux_d_eau	la pièce d’eau	merveilles17_i_dv-felibien1676
éclairage	plusieurs lances à feu	merveilles17_i_dv-felibien1676
éclairage	semblables lumiéres	merveilles17_i_dv-felibien1676
éclairage	un nombre infini de feux	merveilles17_i_dv-felibien1676
machine_aquatique	Dragon	merveilles17_i_dv-felibien1676
feu_d_artifice	des torrens de feu	merveilles17_i_dv-felibien1676
feu_d_artifice	mille éclairs & mille foudres	merveilles17_i_dv-felibien1676
feu_d_artifice	Un nombre infini de semblables feux	merveilles17_i_dv-felibien1676
machine_aquatique	le Dragon	merveilles17_i_dv-felibien1676
jeux_d_eau	la piéce d’eau	merveilles17_i_dv-felibien1676
feu_d_artifice	petits tourbillons de feu	merveilles17_i_dv-felibien1676
feu_d_artifice	une infinité d’autres feux	merveilles17_i_dv-felibien1676
feu_d_artifice	mille étincelles de feu	merveilles17_i_dv-felibien1676
feu_d_artifice	mille fusées	merveilles17_i_dv-felibien1676
feu_d_artifice	mille autres feux	merveilles17_i_dv-felibien1676
feu_d_artifice	Mille partemens de fusées	merveilles17_i_dv-felibien1676
feu_d_artifice	gerbes de feu	merveilles17_i_dv-felibien1676
	cette grande piéce d’eau	merveilles17_i_dv-felibien1676
feu_d_artifice	nombre de cinq milles fusées	merveilles17_i_dv-felibien1676
feu_d_artifice	trente mille differentes piéces d’artifice	merveilles17_i_dv-felibien1676
machine_aquatique	la Machine	merveilles17_i_dv-felibien1676
éclairage	d’Illuminations	merveilles17_i_dv-felibien1676
musique	les musiques	merveilles17_i_dv-felibien1676
feu_d_artifice	les feux d’artifice	merveilles17_i_dv-felibien1676
éclairage	tracez du lumiéres	merveilles17_i_dv-felibien1676
éclairage	double rang de feux	merveilles17_i_dv-felibien1676
éclairage	pareilles lumiéres	merveilles17_i_dv-felibien1676
jeux_d_eau	mille jets d’eau	merveilles17_i_dv-felibien1676
éclairage	Ces lumiéres	merveilles17_i_dv-felibien1676
éclairage	figures de feu	merveilles17_i_dv-felibien1676
éclairage	une lumiére douce	merveilles17_i_dv-felibien1676
feu_d_artifice	ces feux	merveilles17_i_dv-felibien1676
décor	Figures illuminées	merveilles17_i_dv-felibien1676
jeux_d_eau	la piéce d’eau	merveilles17_i_dv-felibien1676
éclairage	Illuminations	merveilles17_i_dv-felibien1676
éclairage	six cens cinquante Termes de lumiéres	merveilles17_i_dv-felibien1676
éclairage	lumiéres	merveilles17_i_dv-felibien1676
construction	la grande piéce d’eau	merveilles17_i_dv-felibien1676
construction	Cette piéce d’eau	merveilles17_i_dv-felibien1676
construction	un Palais	merveilles17_i_dv-felibien1676
construction	un Palais	merveilles17_i_dv-felibien1676
éclairage	feu & des éclats de lumiéres	merveilles17_i_dv-felibien1676
éclairage	d’étincelles de feu	merveilles17_i_dv-felibien1676
jeux_d_eau	un gros jet d’eau	merveilles17_i_dv-felibien1676
construction	deux rochers	merveilles17_i_dv-felibien1676
jeux_d_eau	un gros jet d’eau	merveilles17_i_dv-felibien1676
éclairage	des lumiéres	merveilles17_i_dv-felibien1676
construction	cette grande piéce d’eau	merveilles17_i_dv-felibien1676
éclairage	la lumiére	merveilles17_i_dv-felibien1676
éclairage	ces grandes piéces d’eau éclairées	merveilles17_i_dv-felibien1676
éclairage	Figures lumineuses	merveilles17_i_dv-felibien1676
éclairage	ces Illuminations	merveilles17_i_dv-felibien1676
éclairage	les lumiéres	merveilles17_i_dv-felibien1676
éclairage	vingt mille lumiéres	merveilles17_i_dv-felibien1676
éclairage	quatre milles autres feux	merveilles17_i_dv-felibien1676
feu_d_artifice	feux d’artifices	merveilles17_i_ormessonmai1664
musique	de la Musique	merveilles17_i_pie-ballard1
décor	Isle flotante	merveilles17_i_pie-ballard1
machine_du_temps	vn Char	merveilles17_i_pie-ballard1
construction	Portiques	merveilles17_i_pie-ballard1
machine_du_temps	Char	merveilles17_i_pie-ballard1
machine_du_temps	Char	merveilles17_i_pie-ballard1
éclairage	vn nombre infiny de lumieres	merveilles17_i_pie-ballard1
machine_volante	vne Machine	merveilles17_i_pie-ballard1
animal	vn cheual d’Espagne	merveilles17_i_pie-ballard1
animal	vn Elephant	merveilles17_i_pie-ballard1
animal	vn Chameau	merveilles17_i_pie-ballard1
animal	vn Ours	merveilles17_i_pie-ballard1
machine_volante	vne Machine	merveilles17_i_pie-ballard1
costume	armez à la Grecques	merveilles17_i_pie-ballard1
machine_aquatique	Monstre Marin	merveilles17_i_pie-ballard1
décor	deux Isles	merveilles17_i_pie-ballard1
construction	Palais d’Alcine	merveilles17_i_pie-ballard1
construction	Frontispice du Palais	merveilles17_i_pie-ballard1
éclairage	deux flambeaux	merveilles17_i_pie-ballard1
construction	ce Palais	merveilles17_i_pie-ballard1
bruitage	vn coup de Tonnerre	merveilles17_i_pie-ballard1
éclairage	plusieurs esclairs	merveilles17_i_pie-ballard1
construction	Palais	merveilles17_i_pie-ballard1
feu_d_artifice	Feu d’artifice	merveilles17_i_pie-ballard1
	vn Char	merveilles17_i_pie-ballard1
	le Char	merveilles17_i_pie-ballard1
	vne Machine	merveilles17_i_pie-ballard1
machine_aquatique	vne Machine	merveilles17_i_pie-ballard1
construction	Palais d’Alcine	merveilles17_i_pie-ballard1
construction	Eschaffaut	merveilles17_i_pie-ballard1
construction	trois autres echaffauts	merveilles17_i_pie-ballard1
construction	hautes toilles	merveilles17_i_pie-ballard2
construction	bastimens de bois	merveilles17_i_pie-ballard2
éclairage	nombre prodigieux de flambeaux de cire blanche	merveilles17_i_pie-ballard2
construction	orner vn Rond	merveilles17_i_pie-ballard2
construction	hautes palissades; de quatre Portiques de trente-cinq pieds d’éleuation, & de vingt-deux en quarré d’ouuerture; de plusieurs festons enrichis d’or, & de diuerses peintures auec les armes de sa Majesté.	merveilles17_i_pie-ballard2
costume	fort richement habillé de couleur de feu	merveilles17_i_pie-ballard2
costume	habillé de sa liurée de toille d’argent enrichie d’or, auec les plumes incarnates & noires & les rubans de mesme	merveilles17_i_pie-ballard2
costume	vestu de couleur de feu, argent & noir; & le reste de la liurée semblable	merveilles17_i_pie-ballard2
costume	habillez de satin couleur de feu, & argent; leurs plumes de la mesme liurée, & les carapaçons de leurs cheuaux couuerts d’vne pareille broderie, auec des Soleils d’or fort esclatants aux banderolles des Trompettes, & les couuertures des Tymballes	merveilles17_i_pie-ballard2
costume	armé à la Grecque, d’vne cuirasse de toille d’argent couuerte de petites escailles d’or; aussi bien que son bas de saye, & son Casque estoit orné d’vn Dragon, & d’vn grand nombre de plumes blanches, meslées d’incarnat & de noir	merveilles17_i_pie-ballard2
animal	vn cheval blanc, bardé de mesme	merveilles17_i_pie-ballard2
animal	vn des plus beaux cheuaux du monde, dont le harnois couleur de feu esclattoit d’or, d’argent & de pierreries	merveilles17_i_pie-ballard2
costume	estoit armée à la façon des Grecs comme tous ceux de sa Quadrille, & portoit vne cuirasse de lame d’argent, couuerte d’vne riche broderie d’or & de diamans. Son port & toute son action estoient dignes de son rang ; son Casque tout couuert de plumes couleur de feu	merveilles17_i_pie-ballard2
costume	portant la couleur de feu & le noir sous vne riche broderie d’argent, & ces plumes aussi bien que tout le reste de son esquipage estoient de cette mesme liurée	merveilles17_i_pie-ballard2
costume	vn habit de cette couleur en broderie d’or & de geaix	merveilles17_i_pie-ballard2
animal	son cheual	merveilles17_i_pie-ballard2
costume	portoit sur vn habit de toille d’argent plusieurs rubis, & montoit vn cheual blanc bardé de la mesme couleur	merveilles17_i_pie-ballard2
costume	vestus l’vn d’incarnat auec or & argent; & l’autre de vert, blanc & argent: Toute leur liurée	merveilles17_i_pie-ballard2
animal	leurs cheuaux	merveilles17_i_pie-ballard2
costume	le premier vestu d’incarnat & blanc; et l’autre de jaune, blanc & noir, enrichis de broderie d’argent, leur liurée de mesme, & fort bien montez	merveilles17_i_pie-ballard2
costume	l’vn portoit le bleu & argent ; & l’autre le bleu, blanc, & noir auec or & argent : leurs plumes, & les harnois de leurs cheuaux estoient de la mesme couleur, & d’vne pareille richesse	merveilles17_i_pie-ballard2
costume	la couleur de chair & argent; & l’autre le gris de lin, blanc & argent: toute leur liurée estant la plus riche, & la mieux assortie du monde	merveilles17_i_pie-ballard2
costume	sa liurée la couleur de feu, blanc & argent : vn grand nombre de Diamants estoient attachez sur la magnifique broderie, dont sa cuirasse, & son bas de saye estoient couuerts; son casque, & le harnois de son cheual en estoient aussi enrichis.	merveilles17_i_pie-ballard2
machine_du_temps	VN char de dix-huit pieds de haut, de vingt-quatre de long, & de quinze de large; paroissoit en suite esclatant d’or & de diuerses couleurs	merveilles17_i_pie-ballard2
costume	riches habits	merveilles17_i_pie-ballard2
machine_du_temps	ce Char magnifique	merveilles17_i_pie-ballard2
machine_volante	Machine	merveilles17_i_pie-ballard2
costume	des vestes couleur de feu enrichie d’argent, & des coiffures de mesmes.	merveilles17_i_pie-ballard2
éclairage	vn nombre infiny de lumieres	merveilles17_i_pie-ballard2
animal	vn Cheual d’Espagne	merveilles17_i_pie-ballard2
costume	Son habit estoit vert en broderie d’argent, & de fleurs au naturel	merveilles17_i_pie-ballard2
animal	vn Elephant	merveilles17_i_pie-ballard2
animal	vn Chameau	merveilles17_i_pie-ballard2
animal	vn Ours	merveilles17_i_pie-ballard2
costume	vestus d’habits conformes à cette profession, mais fort riches	merveilles17_i_pie-ballard2
machine_volante	Machine fort ingenieuse en forme d’vne petite Montagne ou Roche ombragée de plusieurs arbres ; mais ce qui estoit plus surprenant, c’est qu’on la voyoit portée en l’air, sans que l’artifice qui la faisoit mouuoir se peust descouurir à la veuë.	merveilles17_i_pie-ballard2
costume	fort richement vestus	merveilles17_i_pie-ballard2
costume	tres bien vestus	merveilles17_i_pie-ballard2
construction	vn petit Theatre	merveilles17_i_pie-ballard2
construction	ces hautes palissades	merveilles17_i_pie-ballard2
éclairage	vn nombre infiny de Chandeliers peints de vert & d’argent, portant chacun vingt-quatre bougies, & deux cent flambeaux de cire blanche	merveilles17_i_pie-ballard2
costume	leurs Casques couuerts de plumes de differentes couleurs, & leurs habits de la Course	merveilles17_i_pie-ballard2
construction	ce rond	merveilles17_i_pie-ballard2
construction	vn autre rond enuironné de palissades	merveilles17_i_pie-ballard2
construction	le Palais d’Alcine	merveilles17_i_pie-ballard2
construction	couurir de toilles, en si peu de temps qu’on auoit lieu de s’en estonner, tout ce rond d’vne espece de Dome, pour deffendre contre le vent	merveilles17_i_pie-ballard2
éclairage	le grand nombre de Flambeaux & de Bougies qui deuoient esclairer	merveilles17_i_pie-ballard2
construction	le Theatre	merveilles17_i_pie-ballard2
decor	la decoration estoit fort agreable	merveilles17_i_pie-ballard2
animal	vn Ours	merveilles17_i_pie-ballard2
animal	l’Ours	merveilles17_i_pie-ballard2
animal	l’Ours	merveilles17_i_pie-ballard2
animal	vn autre Ours	merveilles17_i_pie-ballard2
animal	vn des Ours	merveilles17_i_pie-ballard2
trappe	de dessous le Theatre	merveilles17_i_pie-ballard2
machine_musicale	la machine d’vn grand arbre chargé de seize Faunes, dont les huit joüerent de la Fluste, & les autres du Violon auec vn concert le plus agreable du monde	merveilles17_i_pie-ballard2
construction	le Palais d’Alcine	merveilles17_i_pie-ballard2
construction	vn Rocher	merveilles17_i_pie-ballard2
décor	d’vne Isle couuerte de diuers animaux	merveilles17_i_pie-ballard2
décor	Deux autres Isles plus longues, mais d’vne moindre largeur, paroissoient aux deux costez de la premiere	merveilles17_i_pie-ballard2
éclairage	si fort esclairées, que ces lumieres faisoient naistre vn nouueau jour dans l’obscurité de la nuit	merveilles17_i_pie-ballard2
musique	l’vne des deux Isles qui paroissoient aux costez de la premiere, fut toute couuerte de Violons fort bien vestus	merveilles17_i_pie-ballard2
décor	L’autre qui luy estoit opposée	merveilles17_i_pie-ballard2
construction	le Rocher	merveilles17_i_pie-ballard2
machine_aquatique	vn Monstre-Marin d’vne grandeur prodigieuse	merveilles17_i_pie-ballard2
machine_aquatique	de grandes Baleines	merveilles17_i_pie-ballard2
construction	Rondeau	merveilles17_i_pie-ballard2
bruitage	vn coup de Tonnerre	merveilles17_i_pie-ballard2
éclairage	plusieurs esclairs	merveilles17_i_pie-ballard2
feu_d_artifice	Feu d’artifice	merveilles17_i_pie-ballard2
machine_volante	fusées volantes	merveilles17_i_pie-ballard2
feu_d_artifice	Feu d’Artifice	merveilles17_i_pie-ballard2
bruitage	vn bruit & vne longueur extraordinaires	merveilles17_i_pie-ballard2
construction	vn des theatres doubles de son Sallon	merveilles17_i_pie-ballard2
construction	De hautes toilles, des bestimens de bois faits	merveilles17_i_pie1673
éclairage	nombre prodigieux de flambeaux de cire blanche	merveilles17_i_pie1673
éclairage	quatre mille bougies	merveilles17_i_pie1673
décor	un Rond	merveilles17_i_pie1673
construction	hautes palissages	merveilles17_i_pie1673
construction	quatre Portique	merveilles17_i_pie1673
costume	vestu d’un habit à l’antique	merveilles17_i_pie1673
costume	armé à la Grecque	merveilles17_i_pie1673
animal	cheval blanc, bardé de mesme	merveilles17_i_pie1673
animal	un des plus beaux chevaux du monde	merveilles17_i_pie1673
costume	armée à la façon des Grecs	merveilles17_i_pie1673
costume	son Casque tout couvert de plumes couleur de feu	merveilles17_i_pie1673
costume	un habit de cette couleur en broderie d’or & de geais	merveilles17_i_pie1673
machine_du_temps	UN Char	merveilles17_i_pie1673
éclairage	brillante de lumiéres	merveilles17_i_pie1673
machine_du_temps	Char	merveilles17_i_pie1673
animal	Quatre chevaux d’une taille et d’une beauté peu communes, couverts de grandes housses semées de Soleils d’or, & attellez de front	merveilles17_i_pie1673
machine_du_temps	Machine	merveilles17_i_pie1673
machine_du_temps	Char	merveilles17_i_pie1673
costume	des vestes, couleur de feu, enrichies d’argent, & des coëffures de mesme	merveilles17_i_pie1673
machine_terrestre	Char	merveilles17_i_pie1673
éclairage	un nombre infini de lumiéres	merveilles17_i_pie1673
animal	un cheval d’Espagne	merveilles17_i_pie1673
animal	un Eléphant, couvert d’une riche housse	merveilles17_i_pie1673
animal	un Chameau.	merveilles17_i_pie1673
animal	un Ours	merveilles17_i_pie1673
machine_volante	Machine	merveilles17_i_pie1673
construction	un petit Theatre	merveilles17_i_pie1673
construction	hautes palissades	merveilles17_i_pie1673
éclairage	un nombre infini de Chandeliers peints de vert & d’argent, portans chacun vingt-quatre bougies	merveilles17_i_pie1673
costume	vestuës en Masques	merveilles17_i_pie1673
costume	Casques couverts de plumes de differentes couleurs, & leurs habits de la Course	merveilles17_i_pie1673
construction	vn autre rond environné de palissades	merveilles17_i_pie1673
construction	Palais d’Alcine	merveilles17_i_pie1673
construction	toilles, en si peu de temps qu’on avoit lieu de s’en étonner, tout ce rond, d’une espece de dome	merveilles17_i_pie1673
éclairage	grand nombre de Flambeaux & de Bougies	merveilles17_i_pie1673
construction	le Theatre	merveilles17_i_pie1673
animal	un Ours	merveilles17_i_pie1673
animal	l’Ours	merveilles17_i_pie1673
animal	l’Ours	merveilles17_i_pie1673
animal	un autre Ours	merveilles17_i_pie1673
animal	un des Ours	merveilles17_i_pie1673
machine_musicale	machine	merveilles17_i_pie1673
construction	le grand Rondeau	merveilles17_i_pie1673
construction	le Palais d’Alcine	merveilles17_i_pie1673
construction	ce Rondeau	merveilles17_i_pie1673
construction	un Rocher	merveilles17_i_pie1673
décor	Deux autres Isles plus longues	merveilles17_i_pie1673
construction	Rondeau	merveilles17_i_pie1673
éclairage	ces lumiéres	merveilles17_i_pie1673
décor	l’une des deux Isles qui paroissoient aux costez de la premiére	merveilles17_i_pie1673
construction	Rocher	merveilles17_i_pie1673
machine_aquatique	Monstre Marin d’une grandeur prodigieuse.	merveilles17_i_pie1673
machine_aquatique	grandes Baleines	merveilles17_i_pie1673
construction	Rondeau	merveilles17_i_pie1673
éclairage	deux flambeaux	merveilles17_i_pie1673
bruitage	un coup de Tonnerre	merveilles17_i_pie1673
éclairage	plusieurs éclairs	merveilles17_i_pie1673
feu_d_artifice	Feu d’artifice	merveilles17_i_pie1673
	Ballet	merveilles17_i_pie1673
construction	Palais d’AIcine	merveilles17_i_pie1673
machine_volante	nombre des fusées volantes	merveilles17_i_pie1673
feu_d_artifice	Feu d’artifice	merveilles17_i_pie1673
construction	Le Théatre	merveilles17_ms_amours-philidor
construction	Palais d’Alcine	merveilles17_ms_pie-bizincourt
musique	musique	merveilles17_ms_pie-bizincourt
machine_terrestre	vn Char	merveilles17_ms_pie-bizincourt
construction	vn des quatre Portiques	merveilles17_ms_pie-bizincourt
éclairage	nombre infiny de lumieres	merveilles17_ms_pie-bizincourt
machine_volante	vne Machine portée en l’Air	merveilles17_ms_pie-bizincourt
musique	vn concert de Musique	merveilles17_ms_pie-bizincourt
costume	armez à la Grecques	merveilles17_ms_pie-bizincourt
construction	son Palais	merveilles17_ms_pie-bizincourt
décor	deux Îles sutucés aux deux cotez du Palais d’Alcine	merveilles17_ms_pie-bizincourt
construction	le Palais	merveilles17_ms_pie-bizincourt
éclairage	deux flambeaux	merveilles17_ms_pie-bizincourt
construction	Palais	merveilles17_ms_pie-bizincourt
construction	Palais	merveilles17_ms_pie-bizincourt
feu_d_artifice	feu d’artifice	merveilles17_ms_pie-bizincourt
construction	Théâtre	merveilles17_p_gazette16640216
décor	la premiére décoration du Théatre; & se change en vne Mer	merveilles17_p_gazette16640216
costume	déguisez en Rameurs	merveilles17_p_gazette16640216
costume	Iardiniers	merveilles17_p_gazette16640216
costume	déguisez, aussi	merveilles17_p_gazette16640216
décor	Palais enchanté d’Armide	merveilles17_p_gazette16640216
costume	l’habit de Bergers	merveilles17_p_gazette16640216
décor	Palais	merveilles17_p_gazette16640216
machine_aquatique	Machine	merveilles17_p_gazette16640216
machine_aquatique	Conque marine	merveilles17_p_gazette16640216
costume	Nymphes	merveilles17_p_gazette16640216
éclairage	Flambeaux	merveilles17_p_gazette16640216
costume	Grecs	merveilles17_p_gazette16640216
éclairage	flambeaux	merveilles17_p_gazette16640216
éclairage	infinité de cierges	merveilles17_p_gazette16640216
éclairage	plus de deux mille lumiéres	merveilles17_p_gazette16640510
feu_d_artifice	feu d’Artifice	merveilles17_p_gazette16640510
musique	Musique	merveilles17_p_gazette16640528
construction	grands Portiques de verdure	merveilles17_p_gazette16640528
construction	vn Rond	merveilles17_p_gazette16640528
construction	hauts Dais	merveilles17_p_gazette16640528
construction	Echafaux	merveilles17_p_gazette16640528
costume	richement vestus à la Gréque	merveilles17_p_gazette16640528
machine_du_temps	vn Char de Triomphe	merveilles17_p_gazette16640528
machine_du_temps	roulante Machine	merveilles17_p_gazette16640528
animal	quatre grands chevaux qui représentoyent les quatre Saisons, par les différantes couleurs de leur poil.	merveilles17_p_gazette16640528
machine_du_temps	le Char	merveilles17_p_gazette16640528
éclairage	nombre infini de flambeaux sur des chandeliers suspendus	merveilles17_p_gazette16640528
animal	vn cheval de Naples	merveilles17_p_gazette16640528
animal	vn Eléphant d’Ethiopie	merveilles17_p_gazette16640528
animal	vn Chameau d’Asie	merveilles17_p_gazette16640528
